signal_date,horizon,mover,low_avol_return,high_avol_return,spread,n_low,n_high
2015-02-20,5,positive,-0.008276002438561395,0.0013007737504605163,0.009576776189021911,216,216
2015-02-20,5,negative,-0.010721527297378838,-0.00010221534875320701,0.01061931194862563,215,216
2015-02-27,1,positive,-0.003381940987257065,-0.0052464937122536455,-0.0018645527249965804,216,216
2015-02-27,1,negative,0.006669604912160288,0.003926779170514863,-0.0027428257416454256,216,215
2015-02-25,3,positive,-0.01360732440783404,-0.0025204413671592873,0.011086883040674752,216,216
2015-02-25,3,negative,-0.0026710616338728463,-0.005276739450083783,-0.0026056778162109363,215,216
2015-02-23,5,positive,-0.0025884163436758535,-0.002607625101141773,-1.9208757465919574e-05,216,216
2015-02-23,5,negative,0.005454835338304088,0.004161430130296777,-0.001293405208007311,215,216
2015-03-02,1,positive,-0.006236216404876848,-0.007427885904103747,-0.0011916694992268988,216,217
2015-03-02,1,negative,0.003089528666590947,0.0033977283738054033,0.00030819970721445615,216,216
2015-02-26,3,positive,-0.009040205442852488,-0.004480799099213573,0.004559406343638915,216,217
2015-02-26,3,negative,-0.002524630252719548,-0.002909606163919567,-0.00038497591120001916,215,216
2015-02-24,5,positive,-0.015107796556580226,-0.007909123769017246,0.00719867278756298,216,216
2015-02-24,5,negative,0.0015689268650899188,0.005080668951040185,0.003511742085950266,215,216
2015-03-03,1,positive,-0.004150449659055912,-0.002843992030005995,0.0013064576290499168,216,216
2015-03-03,1,negative,-0.004116579544349487,-0.002396964354325662,0.001719615190023825,215,216
2015-02-27,3,positive,-0.011086436002740438,-0.010511791443032477,0.0005746445597079614,216,216
2015-02-27,3,negative,-0.006156863440722691,0.0007264573776154722,0.006883320818338164,216,215
2015-02-25,5,positive,-0.02038480474229664,-0.00810850734375691,0.012276297398539731,216,216
2015-02-25,5,negative,-0.011402306440460976,-0.014633308908888183,-0.003231002468427207,215,216
2015-03-04,1,positive,-0.0018726719847199941,0.0062199715392305165,0.008092643523950512,215,216
2015-03-04,1,negative,-0.0005286460350948545,-0.0017527167548711275,-0.0012240707197762732,215,215
2015-03-02,3,positive,-0.007137028470357159,-0.00952540114215619,-0.002388372671799032,216,217
2015-03-02,3,negative,-0.007495373524656405,-0.0009704339971580495,0.006524939527498355,216,216
2015-02-26,5,positive,-0.014948623939322603,-0.005879928334297714,0.00906869560502489,216,217
2015-02-26,5,negative,-0.006292919838036968,-0.005332342397441391,0.0009605774405955772,215,216
