spec,signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
LIQ5M,2015-02-04,positive,3,-0.003227145557586959,0.001612844230978519,0.004839989788565478,0.018415347427495433,0.01888791511711363
LIQ5M,2015-02-04,negative,3,0.026748321107927447,0.02203166429485039,-0.004716656813077057,-0.03391083339785307,-0.03550677169420665
LIQ10M,2015-02-04,positive,3,-0.0024876025579840828,0.0027591875514380985,0.005246790109422181,0.01808483504520881,0.018591987122001597
LIQ10M,2015-02-04,negative,3,0.02554983827420081,0.02106794719044027,-0.0044818910837605384,-0.03306671895295381,-0.03454838378614018
TAIL10,2015-02-04,positive,3,-0.008539838362418256,0.007096148235539295,0.01563598659795755,0.02762302289608911,0.028308795038970675
TAIL10,2015-02-04,negative,3,0.04373141685892627,0.031355745403202614,-0.012375671455723658,-0.04441674967741499,-0.047675891489966996
MAIN_20D_1M_TAIL20,2015-02-02,positive,5,0.04471120915893721,0.04601730103987729,0.00130609188094008,0.04384602756383781,0.04567086125795681
MAIN_20D_1M_TAIL20,2015-02-02,negative,5,0.010272788699466026,0.013858316904137377,0.0035855282046713503,-0.012001028724075507,-0.01276508418301211
AVOL10,2015-02-02,positive,5,0.04467260043515612,0.04615547418965106,0.0014828737544949414,0.04390313078573356,0.04561257691906066
AVOL10,2015-02-02,negative,5,0.012350545030370827,0.011907425312393057,-0.00044311971797776975,-0.012142226440219707,-0.012633796818163503
LIQ5M,2015-02-02,positive,5,0.049219552518532717,0.04501020502171691,-0.004209347496815806,0.04529760148437935,0.04693545850510489
LIQ5M,2015-02-02,negative,5,0.010461589957836984,0.013956715986385784,0.0034951260285488,-0.011856895453476323,-0.01301876973881862
LIQ10M,2015-02-02,positive,5,0.049537908260223314,0.04623005940322961,-0.0033078488569937003,0.045153352186670825,0.04628605277132008
LIQ10M,2015-02-02,negative,5,0.012916330473925989,0.011351612886789465,-0.0015647175871365236,-0.011453081684713299,-0.013065262782321207
TAIL10,2015-02-02,positive,5,0.05920875640391092,0.0536049510777339,-0.005603805326177019,0.05731606944077763,0.06096617338433584
TAIL10,2015-02-02,negative,5,0.011468035866363874,0.01667714226423375,0.005209106397869874,-0.019016686166736282,-0.020498369395191847
MAIN_20D_1M_TAIL20,2015-02-09,positive,1,-0.010630295748680808,-0.006088701360638329,0.004541594388042479,0.022828294893773353,0.02332527490010595
MAIN_20D_1M_TAIL20,2015-02-09,negative,1,0.0038742888494880793,0.006410331302050837,0.0025360424525627573,-0.024284314493558133,-0.026020400190037058
AVOL10,2015-02-09,positive,1,-0.010836012210781686,-0.005926335487073692,0.0049096767237079945,0.02270909405843374,0.023447584766825253
AVOL10,2015-02-09,negative,1,0.0025253027397506385,0.007589859146067716,0.005064556406317078,-0.024297745229245958,-0.026009730423356626
LIQ5M,2015-02-09,positive,1,-0.011639555062987195,-0.004553889723764728,0.007085665339222467,0.02301294259950374,0.023184675030606013
LIQ5M,2015-02-09,negative,1,0.005442188755458638,0.009048328266267317,0.0036061395108086787,-0.02292826747954138,-0.023682667956157134
LIQ10M,2015-02-09,positive,1,-0.009987953966274794,-0.003784722190771362,0.0062032317755034315,0.022766546387960267,0.022600918678675377
LIQ10M,2015-02-09,negative,1,0.007673161663523295,0.009759039054643603,0.002085877391120308,-0.022633047214337756,-0.022916393540140197
TAIL10,2015-02-09,positive,1,-0.020911743722467385,-0.012007072737424147,0.008904670985043238,0.03548390922282745,0.036510731843482844
